결제일,주문번호,노출상품명,옵션명,구매수량,판매가,배송비,쿠폰할인,정산예정금액,주문상태
2026-01-04,CP-20260104-001,프리미엄 무선 충전기,화이트,1,19900,0,1000,17580,배송완료
2026-01-05,CP-20260105-002,데일리 텀블러,블랙,3,44700,3000,3000,39200,구매확정
2026-01-07,CP-20260107-003,휴대용 미니 가습기,핑크,1,18900,3000,1000,16400,배송완료
2026-01-08,CP-20260108-004,실리콘 주방 집게,민트,4,31600,3000,2000,27800,구매확정
2026-01-10,CP-20260110-005,3단 자동 우산,네이비,1,12900,3000,1000,11100,배송완료
2026-01-12,CP-20260112-006,여행용 파우치 세트,6종,1,23900,0,2000,20800,배송중
2026-01-13,CP-20260113-007,노트북 거치대,실버,1,27900,3000,3000,23800,구매확정
2026-01-15,CP-20260115-008,차량용 방향제,라벤더,2,17800,3000,1000,15300,배송완료
2026-01-17,CP-20260117-009,반려동물 급수기,2L,1,25900,3000,3000,21800,구매확정
2026-01-18,CP-20260118-010,에코 장바구니,기본,3,17700,3000,2000,15100,배송완료
2026-01-20,CP-20260120-011,프리미엄 무선 충전기,블랙,2,39800,0,3000,34600,배송완료
2026-01-22,CP-20260122-012,데일리 텀블러,베이지,1,14900,3000,0,13000,결제완료
2026-01-24,CP-20260124-013,마진 체크용 미등록 상품,기본,1,15900,3000,1000,13700,배송완료
2026-01-26,CP-20260126-014,휴대용 미니 가습기,화이트,1,18900,3000,1000,16400,취소
2026-01-29,CP-20260129-015,3단 자동 우산,그레이,2,25800,3000,3000,22100,반품
2026-02-01,CP-20260201-001,프리미엄 무선 충전기,화이트,1,19900,0,0,18100,구매확정
2026-02-03,CP-20260203-002,데일리 텀블러,블랙,2,29800,3000,2000,26000,배송완료
2026-02-04,CP-20260204-003,휴대용 미니 가습기,핑크,2,37800,3000,4000,32000,구매확정
2026-02-06,CP-20260206-004,실리콘 주방 집게,민트,5,39500,3000,3000,34700,배송완료
2026-02-08,CP-20260208-005,여행용 파우치 세트,8종,1,27900,0,2000,24400,배송중
2026-02-09,CP-20260209-006,노트북 거치대,실버,1,27900,3000,2000,24700,구매확정
2026-02-11,CP-20260211-007,차량용 방향제,라벤더,3,26700,3000,2000,23100,배송완료
2026-02-13,CP-20260213-008,반려동물 급수기,2L,1,25900,3000,4000,20800,배송완료
2026-02-15,CP-20260215-009,에코 장바구니,기본,4,23600,3000,3000,20200,구매확정
2026-02-17,CP-20260217-010,프리미엄 무선 충전기,블랙,1,19900,0,1000,17580,배송완료
2026-02-19,CP-20260219-011,3단 자동 우산,네이비,1,12900,3000,2000,10100,배송완료
2026-02-21,CP-20260221-012,데일리 텀블러,베이지,2,29800,3000,1000,27000,결제완료
2026-02-23,CP-20260223-013,데일리 텀블러,블랙,1,14900,3000,0,13000,구매확정
2026-02-26,CP-20260226-014,휴대용 미니 가습기,화이트,1,18900,3000,2000,15400,취소
2026-02-28,CP-20260228-015,실리콘 주방 집게,민트,3,23700,3000,1000,21100,배송완료
2026-03-02,CP-20260302-001,프리미엄 무선 충전기,화이트,2,39800,0,2000,35400,구매확정
2026-03-04,CP-20260304-002,데일리 텀블러,블랙,2,29800,3000,0,27000,배송완료
2026-03-05,CP-20260305-003,휴대용 미니 가습기,핑크,1,18900,3000,2000,15400,구매확정
2026-03-07,CP-20260307-004,3단 자동 우산,그레이,1,12900,3000,1000,11100,배송완료
2026-03-09,CP-20260309-005,여행용 파우치 세트,6종,2,47800,0,3000,42100,구매확정
2026-03-11,CP-20260311-006,노트북 거치대,실버,1,27900,3000,0,26500,배송완료
2026-03-12,CP-20260312-007,차량용 방향제,라벤더,4,35600,3000,3000,31100,배송완료
2026-03-14,CP-20260314-008,반려동물 급수기,2L,1,25900,3000,5000,19800,구매확정
2026-03-16,CP-20260316-009,에코 장바구니,기본,5,29500,3000,4000,25300,배송완료
2026-03-18,CP-20260318-010,프리미엄 무선 충전기,블랙,1,19900,0,0,18100,배송중
2026-03-20,CP-20260320-011,데일리 텀블러,베이지,3,44700,3000,3000,39200,구매확정
2026-03-22,CP-20260322-012,휴대용 미니 가습기,화이트,1,18900,3000,3000,14400,배송완료
2026-03-24,CP-20260324-013,마진 체크용 미등록 상품,기본,1,15900,3000,0,14600,배송완료
2026-03-26,CP-20260326-014,3단 자동 우산,네이비,1,12900,3000,0,12100,반품
2026-03-29,CP-20260329-015,실리콘 주방 집게,민트,6,47400,3000,4000,41800,구매확정
