주문일,주문번호,상품명,옵션명,수량,상품금액,배송비,할인금액,결제금액,주문상태
2026-01-03,SS-20260103-001,프리미엄 무선 충전기,화이트,2,39800,3000,2000,40800,구매확정
2026-01-04,SS-20260104-002,데일리 텀블러,블랙,1,14900,3000,0,17900,배송완료
2026-01-05,SS-20260105-003,휴대용 미니 가습기,핑크,1,18900,3000,0,21900,배송완료
2026-01-06,SS-20260106-004,실리콘 주방 집게,민트,3,23700,3000,2000,24700,구매확정
2026-01-08,SS-20260108-005,3단 자동 우산,네이비,1,12900,3000,1000,14900,배송완료
2026-01-09,SS-20260109-006,여행용 파우치 세트,6종,1,23900,3000,0,26900,배송중
2026-01-11,SS-20260111-007,노트북 거치대,실버,1,27900,3000,2000,28900,구매확정
2026-01-12,SS-20260112-008,차량용 방향제,라벤더,2,17800,3000,0,20800,배송완료
2026-01-14,SS-20260114-009,반려동물 급수기,2L,1,25900,3000,2000,26900,구매확정
2026-01-15,SS-20260115-010,에코 장바구니,기본,2,11800,3000,1000,13800,배송완료
2026-01-17,SS-20260117-011,프리미엄 무선 충전기,블랙,1,19900,3000,0,22900,결제완료
2026-01-18,SS-20260118-012,데일리 텀블러,베이지,2,29800,3000,3000,29800,구매확정
2026-01-20,SS-20260120-013,마진 체크용 미등록 상품,기본,1,15900,3000,0,18900,배송완료
2026-01-23,SS-20260123-014,휴대용 미니 가습기,화이트,1,18900,3000,2000,19900,반품
2026-01-26,SS-20260126-015,3단 자동 우산,그레이,2,25800,3000,2000,26800,취소
2026-02-02,SS-20260202-001,프리미엄 무선 충전기,화이트,1,19900,3000,1000,21900,구매확정
2026-02-03,SS-20260203-002,데일리 텀블러,블랙,2,29800,3000,0,32800,배송완료
2026-02-05,SS-20260205-003,휴대용 미니 가습기,핑크,2,37800,3000,3000,37800,구매확정
2026-02-06,SS-20260206-004,실리콘 주방 집게,민트,4,31600,3000,3000,31600,배송완료
2026-02-08,SS-20260208-005,여행용 파우치 세트,8종,1,27900,3000,1000,29900,배송중
2026-02-10,SS-20260210-006,노트북 거치대,실버,2,55800,3000,4000,54800,구매확정
2026-02-11,SS-20260211-007,차량용 방향제,라벤더,1,8900,3000,0,11900,배송완료
2026-02-13,SS-20260213-008,반려동물 급수기,2L,1,25900,3000,0,28900,배송완료
2026-02-15,SS-20260215-009,에코 장바구니,기본,3,17700,3000,2000,18700,구매확정
2026-02-17,SS-20260217-010,프리미엄 무선 충전기,블랙,2,39800,3000,0,42800,배송완료
2026-02-19,SS-20260219-011,3단 자동 우산,네이비,1,12900,3000,2000,13900,배송완료
2026-02-21,SS-20260221-012,데일리 텀블러,베이지,1,14900,3000,0,17900,결제완료
2026-02-24,SS-20260224-013,데일리 텀블러,블랙,1,14900,3000,1000,16900,구매확정
2026-02-26,SS-20260226-014,휴대용 미니 가습기,화이트,1,18900,3000,0,21900,취소
2026-02-28,SS-20260228-015,실리콘 주방 집게,민트,2,15800,3000,1000,17800,배송완료
2026-03-02,SS-20260302-001,프리미엄 무선 충전기,화이트,2,39800,3000,1000,41800,구매확정
2026-03-03,SS-20260303-002,데일리 텀블러,블랙,3,44700,3000,3000,44700,배송완료
2026-03-05,SS-20260305-003,휴대용 미니 가습기,핑크,1,18900,3000,1000,20900,구매확정
2026-03-06,SS-20260306-004,3단 자동 우산,그레이,1,12900,3000,0,15900,배송완료
2026-03-08,SS-20260308-005,여행용 파우치 세트,6종,2,47800,3000,3000,47800,구매확정
2026-03-10,SS-20260310-006,노트북 거치대,실버,1,27900,3000,0,30900,배송완료
2026-03-12,SS-20260312-007,차량용 방향제,라벤더,3,26700,3000,2000,27700,배송완료
2026-03-14,SS-20260314-008,반려동물 급수기,2L,1,25900,3000,3000,25900,구매확정
2026-03-16,SS-20260316-009,에코 장바구니,기본,4,23600,3000,2000,24600,배송완료
2026-03-18,SS-20260318-010,프리미엄 무선 충전기,블랙,1,19900,3000,0,22900,배송중
2026-03-20,SS-20260320-011,데일리 텀블러,베이지,2,29800,3000,0,32800,구매확정
2026-03-22,SS-20260322-012,휴대용 미니 가습기,화이트,1,18900,3000,3000,18900,배송완료
2026-03-24,SS-20260324-013,마진 체크용 미등록 상품,기본,1,15900,3000,0,18900,배송완료
2026-03-26,SS-20260326-014,3단 자동 우산,네이비,1,12900,3000,0,15900,반품
2026-03-29,SS-20260329-015,실리콘 주방 집게,민트,5,39500,3000,3000,39500,구매확정
